color,make,model,model_variant,cityPurple,Mercedes-Benz,S 500,S 500,Zuzwil
Black,Maserati,GHIBLI,Ghibli 2.8 GT,Zuzwil
Silver,BMW,645,645i,Zuzwil
Blue,BMW,X3,X3 3.0i,Zuzwil
Gold,Ruf,null,CTR,Zuzwil
Gray,BMW,X5,X5 4.4i,Zuzwil
Gray,Aston Martin,DBS,DBS Coupé,Zuzwil
Gray,VW,GOLF,Golf 2.0 TSI R 4Motion,Zuzwil
Gray,Mercedes-Benz,CL 500,CL 500,Zuzwil
Black,BMW,540,540i,Zuzwil
Black,BMW,X5,X5 4.4i,Zuzwil
Black,Aston Martin,V8 Vantage,V8 Vantage 4.3,Zuzwil
Black,Nissan,MURANO,Murano 3.5 V6,Zuzwil
Gray,Porsche,CAYENNE,Cayenne Turbo,Zuzwil
Black,Mercedes-Benz,C 63 AMG,C 63 AMG Avantgarde,Zuzwil
Gray,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Green,BMW,M5,M5,Zuzwil
Red,Bentley,TURBO,Turbo R,Zuzwil
Red,VW,PHAETON,Phaeton 3.0 TDi V6 4M,Zuzwil
Red,BMW,M3,M3,Zuzwil
Black,Lotus,ELISE,Elise,Zuzwil
Black,BMW,3.0,CSL,Zuzwil
Silver,BMW,745,745i,Zuzwil
Blue,Mercedes-Benz,CLS 63 AMG,CLS 63 AMG,Zuzwil
Blue,Mercedes-Benz,S 65 AMG,S 65 AMG L,Zuzwil
Blue,Mercedes-Benz,CL 500,CL 500,Zuzwil
Black,Lamborghini,DIABLO,Diablo 5.7,Zuzwil
Silver,Aston Martin,DB9,DB9,Zuzwil
Silver,BMW,535,535d,Zuzwil
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Silver,Ferrari,F355,F355 Berlinetta,Zuzwil
Silver,Ford,ESCORT,RS 2000,Zuzwil
White,Audi,A8,A8 4.2 quattro,Zuzwil
Yellow,Porsche,CAYENNE,Cayenne Turbo S,Zuzwil
Green,Bentley,CONTINENTAL,Continental Supersports Conv.,Zuzwil
Black,Rolls-Royce,Silver Spirit,Mk. I,Zuzwil
Black,Porsche,911,GT3 CUP,Zuzwil
Beige,Mercedes-Benz,SL 500,SL 500,Zuzwil
Black,Audi,RS4,RS4 Cabriolet 4.2 quattro,Zuzwil
Black,Honda,ACCORD,Accord Coupé V6 3.0i VTEC,Zuzwil
Silver,Audi,RS6,RS6 Avant 5.0 V10 quattro,Zuzwil
Silver,Porsche,911,911 GT3,Zuzwil
Gray,Ruf,null,CTR 2 Sport,Zuzwil
Gray,Audi,RS6,RS6 Avant quattro,Zuzwil
Red,Jaguar,S-TYPE,S-Type 4.0 V8,Zuzwil
Black,Mercedes-Benz,SLK 230,SLK 230 Kompressor,Zuzwil
Black,Chrysler,VIPER,Viper RT/10,Zuzwil
Silver,Renault,SPORT SPIDER,Spider 2.0 16V TURBO,Zuzwil
Blue,BMW,728,728i,Zuzwil
Blue,Ferrari,F430,F430 Spider,Porrentruy
Silver,Mercedes-Benz,SL 500,SL 500,Zuzwil
Green,Porsche,911,911 Turbo,Zuzwil
Red,BMW,M5,M5,Zuzwil
Black,Maserati,QUATTROPORTE,Quattroporte 4.2 Sport GT,Zuzwil
Black,BMW,750,750i xDrive,Zuzwil
Black,BMW,540,540i,Zuzwil
Gray,Maserati,SPYDER GT,Spyder GT,Zuzwil
Black,Renault,Alpine A110,Modell 1400 FASA,Zuzwil
White,Autobianchi,A112,Abarth Serie II,Zuzwil
Orange,Alfa Romeo,GTV,6 2.5,Zuzwil
Blue,Lamborghini,DIABLO,Diablo 5.7,Zuzwil
Silver,Mercedes-Benz,280,3.5 V8 Cabrio,Sursee
White,Renault,ALPINE,A310 2700 VA,Zuzwil
Gray,Mercedes-Benz,S 500,S 500,Zuzwil
Black,BMW,X5,X5 4.4i,Zuzwil
Black,Land Rover,RANGE ROVER,Range Rover 4.6 HSE,Zuzwil
Black,Mercedes-Benz,CLK 63 AMG,CLK 63 AMG Black Series,Zuzwil
White,De Tomaso,PANTERA,null,Zuzwil
Gray,BMW,X5,X5 4.6is,Zuzwil
Black,Saab,9-3,9-3 2.0i-16 TS Aero,Zuzwil
Black,BMW,730,730d,Zuzwil
Black,Lotus,ESPRIT,Esprit 3.5 V8 SE,Zuzwil
Blue,Alpina,5 SERIES,B7 TURBO,Zuzwil
Blue,Ferrari,F360,F360 Modena Berlinetta,Zuzwil
Yellow,Ferrari,456,456M GT,Zuzwil
Gray,Porsche,911,911 Carrera Cabrio,Zuzwil
Gray,Porsche,911,911 Carrera,Zuzwil
Green,Chevrolet,CORVETTE,Corvette ZR1,Zuzwil
Black,Mercedes-Benz,SL 55 AMG,SL 55 AMG,Zuzwil
Silver,Chevrolet,CORVETTE,Corvette Z06,Zuzwil
Silver,BMW,M6,M6,Zuzwil
Gray,Dodge,VIPER,null,Zuzwil
Green,Audi,S8,S8 4.2 quattro,Zuzwil
Black,Mercedes-Benz,S 500,S 500,Zuzwil
Silver,Renault,R5,Alpine,Zuzwil
Silver,Renault,Alpine A110,1300,Zuzwil
White,Alfa Romeo,SPIDER,1300 Junior,Zuzwil
Black,Trabant,null,1300S Trabusa,Zuzwil
Blue,Renault,Alpine A110,1600 SX,Zuzwil
Gray,Porsche,924,null,Zuzwil
Green,BMW,323,323i,Zuzwil
Red,Mercedes-Benz,CL 600,CL 600,Zuzwil
Blue,Mercedes-Benz,SLR,McLaren Coupé,Zuzwil
Black,Lamborghini,MURCIÉLAGO,Murciélago LP670-4 SV Cpé,Zuzwil
Black,Lotus,null,HKT Seven GTS,Zuzwil
White,BMW,330,330i,Zuzwil
Blue,Bentley,BROOKLANDS,Brooklands,Zuzwil
Blue,MG,null,Roadster,Zuzwil
Black,BMW,328,328i A Cabrio,Zuzwil
Blue,Daihatsu,CHARADE,Charade 1.0 Turbo,Zuzwil
Silver,Renault,R5,Alpine Turbo,Zuzwil
