ID,MakeText,ModelText,ModelTypeText,TypeName,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText1076.0,Mercedes-Benz,S 500,S 500,S 500,Purple,Limousine,4966,Zuzwil,320 g/km,Occasion,G,13.4 l/100km,4,Hinterradantrieb,10,1999,Benzin,306,schwarz,32000,"Ab MFK",5,Automat
1058.0,Lamborghini,MURCIÉLAGO,Murciélago 6.2 Coupé,Murciélago 6.2 Coupé,Silver,Coupé,6192,Porrentruy,500 g/km,Occasion,G,21.5 l/100km,2,Allrad,2,2003,Benzin,580,null,9000,"Ab MFK",2,Schaltgetriebe manuell
1078.0,Aston Martin,V8 Vantage,V8 Vantage 4.7,V8 Vantage 4.7,White,Cabriolet,4735,Zuzwil,312 g/km,Vorführmodell,G,13.2 l/100km,2,Hinterradantrieb,7,2010,Benzin,426,schwarz,9000,"Ab MFK",2,Automatisiertes Schaltgetriebe
1079.0,Mercedes-Benz,ML 400,ML 400 CDI,ML 400 CDI,White,SUV / Geländewagen,3996,Zuzwil,288 g/km,Occasion,G,10.9 l/100km,5,Allrad,2,2002,Diesel,250,schwarz,148300,"Ab MFK",5,Automat
1088.0,Mercedes-Benz,CLK 55 AMG,CLK 55 AMG Avantgarde,CLK 55 AMG Avantgarde,White,Coupé,5439,Zuzwil,304 g/km,Occasion,G,12.7 l/100km,2,Hinterradantrieb,11,2001,Benzin,347,null,47500,"Ab MFK",4,Automat
403.0,Audi,S3,S3 2.0 TFSI quattro,S3 2.0 TFSI quattro,Green,Limousine,1984,Zuzwil,217 g/km,Occasion,G,9.1 l/100km,3,Allrad,4,2010,Benzin,265,schwarz,34800,"Ab MFK",5,Schaltgetriebe manuell
815.0,Mercedes-Benz,C 63 AMG,C 63 AMG BLACK SERIES,BLACK SERIES,Black,Coupé,6208,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,3,2012,Benzin,517,schwarz,500,"Ab MFK",2,Automatik-Getriebe
1035.0,Porsche,911,911 Carrera 4 S,911 Carrera 4 S,Silver,Coupé,3596,Zuzwil,277 g/km,Occasion,G,11.4 l/100km,2,Allrad,3,2002,Benzin,320,blau,68100,"Ab MFK",4,Schaltgetriebe manuell
1097.0,Ferrari,599,599 GTB,599 GTB,White,Coupé,5999,Zuzwil,490 g/km,Occasion,G,21.3 l/100km,2,Hinterradantrieb,4,2007,Benzin,620,beige,22000,"Ab MFK",2,Automatisiertes Schaltgetriebe
122.0,Mercedes-Benz,C 320,C 320 Elégance,C 320 Elégance,Blue,Limousine,3199,Zuzwil,260 g/km,Occasion,G,10.8 l/100km,4,Hinterradantrieb,5,2002,Benzin,218,schwarz,145100,"Ab MFK",5,Automat
256.0,Ferrari,F360,F360 Spider,F360 Spider,Gray,Cabriolet,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,9,2002,Benzin,400,blau,16600,"Ab MFK",2,Schaltgetriebe manuell
272.0,Porsche,911,911 Turbo,911 Turbo,Gray,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,9,2003,Benzin,420,blau,63300,"Ab MFK",4,Schaltgetriebe manuell
316.0,Mercedes-Benz,S 500,S 500 L,S 500 L,Gray,Limousine,4973,Zuzwil,353 g/km,Occasion,null,15.4 l/100km,4,Hinterradantrieb,6,1998,Benzin,320,schwarz,128800,"Ab MFK",5,Automat
715.0,Porsche,911,911 Turbo,911 Turbo,Black,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,6,2003,Benzin,420,schwarz,85200,"Ab MFK",4,Schaltgetriebe manuell
90.0,Mercedes-Benz,SLK 350,SLK 350,SLK 350,Blue,Cabriolet,3498,Zuzwil,255 g/km,Occasion,null,10.6 l/100km,2,Hinterradantrieb,5,2008,Benzin,272,braun,3200,"Ab MFK",2,Automatik-Getriebe
934.0,Toyota,CARINA,CARINA Deluxe,Deluxe,Silver,Limousine,1589,Zuzwil,null,Oldtimer,null,null,4,Hinterradantrieb,11,1972,Benzin,0,mehrfarbig,57700,"Ab MFK",5,Schaltgetriebe
98.0,Mercedes-Benz,E 230,E 230 Elégance,E 230 Elégance,Blue,Kombi,2295,Zuzwil,237 g/km,Occasion,null,10.0 l/100km,5,Hinterradantrieb,5,1997,Benzin,150,beige,126000,"Ab MFK",5,Automat
1089.0,Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,White,SUV / Geländewagen,4511,Zuzwil,378 g/km,Neu,G,15.7 l/100km,5,Allrad,1,2007,Benzin,450,schwarz,10,"Ab MFK",5,Automat sequentiell
1106.0,Delorean,null,De Lorean DMC-12,De Lorean DMC-12,White,Coupé,2849,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,4,1981,Benzin,132,grau,15000,null,0,Schaltgetriebe
405.0,Ferrari,MONDIAL,Mondial 3.4 T,Mondial 3.4 T,Green,Coupé,3402,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,5,1992,Benzin,286,braun,56500,"Ab MFK",4,Schaltgetriebe manuell
442.0,Porsche,911,911 Turbo,911 Turbo,Red,Coupé,3600,Zuzwil,307 g/km,Occasion,null,12.8 l/100km,2,Allrad,7,2008,Benzin,480,schwarz,9650,"Ab MFK",4,Automatik-Getriebe
495.0,Ferrari,F430,F430,F430,Red,Coupé,4308,Zuzwil,420 g/km,Occasion,G,18.3 l/100km,2,Hinterradantrieb,3,2006,Benzin,486,rot,4400,"Ab MFK",2,Automatik-Getriebe
523.0,Ferrari,F355,F355 Spider,F355 Spider,Black,Cabriolet,3496,Zuzwil,470 g/km,Occasion,null,20.8 l/100km,2,Hinterradantrieb,7,1998,Benzin,380,schwarz,34600,"Ab MFK",2,Schaltgetriebe manuell
